;Internacoes/10k;Permanencia;Leitos/10k;Ocupacao;CAPS/100k;Custo per capita
Internacoes/10k;1.0;-0.07667757637868042;0.5533152339582068;0.3558548944929721;0.3195367041242439;0.9952641291961366
Permanencia;-0.07667757637868042;1.0;-0.10143932253698126;0.06672341533558515;-0.05675839679770774;-0.02909944928465296
Leitos/10k;0.5533152339582068;-0.10143932253698126;1.0;-0.5134639884447603;0.019222926339239634;0.5580364035280407
Ocupacao;0.3558548944929721;0.06672341533558515;-0.5134639884447603;1.0;0.329974496667524;0.35179804778088675
CAPS/100k;0.3195367041242439;-0.05675839679770774;0.019222926339239634;0.329974496667524;1.0;0.324519363907843
Custo per capita;0.9952641291961366;-0.02909944928465296;0.5580364035280407;0.35179804778088675;0.324519363907843;1.0
